Session Number, Operation, Start Timestamp, End Timestamp, Date 1, Date 2, Days, Weeks, Months, Years, Phrase, Result of Operation, Error
4,Subtract weeks from date,27-8-2020 22:14:30,27-8-2020 22:14:31,20-4-2450,N.A,N.A,209,N.A,N.A,N.A,18-4-2446,N.A
4,Subtract months from date,27-8-2020 22:14:31,27-8-2020 22:14:31,30-6-2720,N.A,N.A,N.A,269,N.A,N.A,30-1-2698,N.A
4,Subtact two dates,27-8-2020 22:14:32,27-8-2020 22:14:32,2-6-1387,16-1-1428,N.A,N.A,N.A,N.A,N.A,Days: 14838	Weeks: 2119	Months: 487,N.A
4,Subtract months from date,27-8-2020 22:14:32,27-8-2020 22:14:32,24-2-1374,N.A,N.A,N.A,465,N.A,N.A,24-5-1335,N.A
4,Get date from string,27-8-2020 22:14:32,27-8-2020 22:14:32,N.A,N.A,N.A,N.A,N.A,N.A,NEXT MONTH,27-9-2020,N.A
4,Add years to date,27-8-2020 22:14:32,27-8-2020 22:14:32,28-10-2172,N.A,N.A,N.A,N.A,419,N.A,28-10-2591,N.A
4,Get day of the week,27-8-2020 22:14:32,27-8-2020 22:14:32,28-4-2483,N.A,N.A,N.A,N.A,N.A,N.A,Wednesday,N.A
4,Get date from string,27-8-2020 22:14:32,27-8-2020 22:14:32,N.A,N.A,N.A,N.A,N.A,N.A,TOMORROW,28-8-2020,N.A
4,Get date from string,27-8-2020 22:14:32,27-8-2020 22:14:32,N.A,N.A,N.A,N.A,N.A,N.A,LAST WEEK,20-8-2020,N.A
4,Get week number,27-8-2020 22:14:32,27-8-2020 22:14:32,26-10-2687,N.A,N.A,N.A,N.A,N.A,N.A,44,N.A
4,Exit Session,27-8-2020 22:14:33,27-8-2020 22:14:33,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
5,Add weeks to date,27-8-2020 22:14:33,27-8-2020 22:14:33,2-9-1636,N.A,N.A,330,N.A,N.A,N.A,30-12-1642,N.A
5,Get day of the week,27-8-2020 22:14:33,27-8-2020 22:14:33,8-9-2038,N.A,N.A,N.A,N.A,N.A,N.A,Wednesday,N.A
5,Get date from string,27-8-2020 22:14:33,27-8-2020 22:14:33,N.A,N.A,N.A,N.A,N.A,N.A,84 MONTHS FROM NOW,27-8-2027,N.A
5,Add two dates,27-8-2020 22:14:33,27-8-2020 22:14:33,2-4-2674,13-6-2663,N.A,N.A,N.A,N.A,N.A,15-10-5337,N.A
5,Get day of the week,27-8-2020 22:14:33,27-8-2020 22:14:33,16-12-2343,N.A,N.A,N.A,N.A,N.A,N.A,Thursday,N.A
5,Get date from string,27-8-2020 22:14:33,27-8-2020 22:14:33,N.A,N.A,N.A,N.A,N.A,N.A,268 MONTHS FROM NOW,27-12-2042,N.A
5,Get week number,27-8-2020 22:14:33,27-8-2020 22:14:33,30-11-2033,N.A,N.A,N.A,N.A,N.A,N.A,49,N.A
5,Subtract days from date,27-8-2020 22:14:33,27-8-2020 22:14:33,8-9-1676,N.A,394,N.A,N.A,N.A,N.A,11-8-1675,N.A
5,Subtract weeks from date,27-8-2020 22:14:33,27-8-2020 22:14:33,32-8-1034,N.A,N.A,216,N.A,N.A,N.A,12-7-1030,N.A
5,Subtract weeks from date,27-8-2020 22:14:33,27-8-2020 22:14:33,24-11-1457,N.A,N.A,401,N.A,N.A,N.A,19-3-1450,N.A
5,Exit Session,27-8-2020 22:14:33,27-8-2020 22:14:33,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
6,Add two dates,27-8-2020 22:14:33,27-8-2020 22:14:33,14-10-1541,22-10-1686,N.A,N.A,N.A,N.A,N.A,5-9-3228,N.A
